CH,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,,CH,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,Cons
man2,549.0279562,791.171353,720.3692472,29821.85242,2431.230072,86480.63567,30267.27192,335561.7413,191034.8596,8619.731358,182708.7629,51482.72186,15085.05401,41042.38884,100028.7692,1076625.588,402865.224,258473.5994,387082.83,1608100.042,128609.2306,,man2,0.549027956,0.791171353,0.720369247,29.82185242,2.431230072,86.48063567,30.26727192,335.5617413,191.0348596,8.619731358,182.7087629,51.48272186,15.08505401,41.04238884,100.0287692,1076.625588,402.865224,258.4735994,387.08283,1608.100042,128.6092306,1479.490812
man3,1643.552104,3004.194665,2461.803093,20496.69555,4843.905533,63920.0599,18576.7424,77157.72931,1806909.486,39376.54945,220050.2228,118298.7234,58591.7371,113414.9376,148711.8035,2697458.142,1698988.335,776163.848,1197581.956,4817864.585,421418.1076,,man3,1.643552104,3.004194665,2.461803093,20.49669555,4.843905533,63.9200599,18.5767424,77.15772931,1806.909486,39.37654945,220.0502228,118.2987234,58.5917371,113.4149376,148.7118035,2697.458142,1698.988335,776.163848,1197.581956,4817.864585,421.4181076,4396.446478
util,1040.23453,2874.728128,1715.679443,14475.31145,2775.356187,55576.56457,12460.18774,53820.81416,76700.51068,211564.0172,11246.73355,62633.51757,20369.69713,60676.73343,80470.47667,668400.5624,358337.2367,14420.69923,14201.65281,1026518.753,-219.0464193,,util,1.04023453,2.874728128,1.715679443,14.47531145,2.775356187,55.57656457,12.46018774,53.82081416,76.70051068,211.5640172,11.24673355,62.63351757,20.36969713,60.67673343,80.47047667,668.4005624,358.3372367,14.42069923,14.20165281,1026.518753,-0.219046419,1026.737799
cons,372.9365061,816.1435692,610.206991,4472.427138,903.6480563,12044.41139,3792.513784,9638.064576,25384.34263,21192.76888,391798.4426,35467.22461,21464.36892,197056.89,77783.73076,802798.1203,1539183.343,13480.79271,19482.28776,2347982.958,6001.495047,,cons,0.372936506,0.816143569,0.610206991,4.472427138,0.903648056,12.04441139,3.792513784,9.638064576,25.38434263,21.19276888,391.7984426,35.46722461,21.46436892,197.05689,77.78373076,802.7981203,1539.183343,13.48079271,19.48228776,2347.982958,6.001495047,2341.981463
ser1,931.9910483,1918.477994,1432.916903,56638.17244,3391.679468,286848.3875,77110.09695,171454.5018,425845.5389,35949.89506,138724.2954,292177.845,93670.55928,162471.1714,190159.8555,1938725.385,2372884.483,147678.2576,152584.8815,4316516.492,4906.623892,,ser1,0.931991048,1.918477994,1.432916903,56.63817244,3.391679468,286.8483875,77.11009695,171.4545018,425.8455389,35.94989506,138.7242954,292.177845,93.67055928,162.4711714,190.1598555,1938.725385,2372.884483,147.6782576,152.5848815,4316.516492,4.906623892,4311.609868
tran,1088.775716,2415.089989,1776.405286,10041.30856,3260.675599,89031.13644,51592.64445,58678.05913,119235.6628,22615.69632,32029.80569,238399.2993,428943.8629,85014.97446,66172.26955,1210295.666,503495.6456,188356.0395,306883.169,1832318.441,118527.1295,,tran,1.088775716,2.415089989,1.776405286,10.04130856,3.260675599,89.03113644,51.59264445,58.67805913,119.2356628,22.61569632,32.02980569,238.3992993,428.9438629,85.01497446,66.17226955,1210.295666,503.4956456,188.3560395,306.883169,1832.318441,118.5271295,1713.791312
ser2,1593.460838,4952.912409,3309.774976,43121.04573,5194.0977,238855.1669,40551.18597,191779.1329,438431.242,77838.53206,250404.6484,781610.7441,222289.5108,2085885.104,602338.8672,4988155.426,3056095.956,408172.9973,507447.8168,8143526.201,99274.81945,,ser2,1.593460838,4.952912409,3.309774976,43.12104573,5.1940977,238.8551669,40.55118597,191.7791329,438.431242,77.83853206,250.4046484,781.6107441,222.2895108,2085.885104,602.3388672,4988.155426,3056.095956,408.1729973,507.4478168,8143.526201,99.27481945,8044.251382
ser3,277.1346663,625.6570515,454.4221374,8855.600868,801.598694,39523.98459,5421.143673,26094.65302,49357.20672,18635.81253,18306.38805,74237.87979,27818.44116,168187.3138,414350.8457,852948.0824,4820480.018,70081.28091,40072.5703,5643419.39,-30008.71061,,ser3,0.277134666,0.625657051,0.454422137,8.855600868,0.801598694,39.52398459,5.421143673,26.09465302,49.35720672,18.63581253,18.30638805,74.23787979,27.81844116,168.1873138,414.3508457,852.9480824,4820.480018,70.08128091,40.0725703,5643.41939,-30.00871061,5673.4281
Intmed,9284.037569,23048.26034,16272.12158,339432.2607,29806.68211,1582152.756,607047.8196,1054147.729,3296525.719,598587.3867,1343203.45,1947083.388,1003530.096,3047522.9,1830307.615,,,,,,,,Intmed,9.284037569,23.04826034,16.27212158,339.4322607,29.80668211,1582.152756,607.0478196,1054.147729,3296.525719,598.5873867,1343.20345,1947.083388,1003.530096,3047.5229,1830.307615,,,,,,,
VA,14019.44024,55004.78466,32095.64007,318329.1754,40385.37376,725504.2109,109279.4147,553952.3134,1521338.867,427931.366,1004779.508,2369433.104,828788.3457,5096003.301,3813111.775,,,,,,,,VA,14.01944024,55.00478466,32.09564007,318.3291754,40.38537376,725.5042109,109.2794147,553.9523134,1521.338867,427.931366,1004.779508,2369.433104,828.7883457,5096.003301,3813.111775,,,,,,,
